Item_Number,Assessment_Focus,Question_Prompt,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,CEFR_rating,Category
V1,Vocabulary: days of the week ('Sunday'),The day after Saturday is ____.,Sunday,Monday,Friday,Thursday,A,A1,Vocabulary
V2,Vocabulary: social actions ('meet'),People usually shake hands when they ____.,meet,sleep,eat,walk,A,A1,Vocabulary
V3,Vocabulary,The bright _______ made me wear sunglasses today.,moon,stars,sun,clouds,C,A1,Vocabulary
V4,Vocabulary,He had toast and eggs for _______ this morning.,lunch,dinner,breakfast,supper,C,A1,Vocabulary
V5,Vocabulary,She wore a new _______ to her friend's wedding.,jacket,dress,shirt,coat,B,A1,Vocabulary
V6,Vocabulary,The children played happily with their new _______.,homework,toys,books,food,B,A1,Vocabulary
V7,Vocabulary,The family sat at the kitchen _______ to eat dinner.,chair,table,sofa,desk,B,A1,Vocabulary
V8,Vocabulary,He drives his new _______ to work every morning.,bicycle,car,boat,plane,B,A1,Vocabulary
V9,Vocabulary,The medicine helped to make the headache _______.,better,gone,away,finished,A,A1,Vocabulary
V10,Vocabulary,Please put the milk in the _______ or it will go bad.,freezer,fridge,cabinet,drawer,B,A2,Vocabulary
V11,Vocabulary,They went to the busy _______ to buy fresh vegetables.,library,market,cinema,park,B,A2,Vocabulary
V12,Vocabulary,She bought a piece of chocolate _______ for dessert.,cake,bread,fruit,rice,A,A2,Vocabulary
V13,Vocabulary,He went to see the doctor at the _______.,school,shop,hospital,station,C,A2,Vocabulary
V14,Word Association,The old photos brought back childhood _____.,memories,corners,pieces,pages,A,A2,Vocabulary
V15,Synonym,The movie was quite _____ - I almost fell asleep.,boring,poor,thin,lost,A,A2,Vocabulary
V16,Vocabulary Inference,The new cafe quickly became _____ with local residents.,ready,popular,empty,closed,B,A2,Vocabulary
V17,Synonym,They had to _____ their plans because of bad weather.,change,paint,draw,build,A,A2,Vocabulary
V18,Phrasal verb 'turn off',Don't forget to ____ the light when you leave.,turn off,turn on,turn up,turn over,A,A2,Vocabulary
V19,Word Meaning,Fresh bread means recently _____.,washed,sliced,baked,wrapped,C,A2,Vocabulary
V20,Collocation,Please _____ quiet in the library.,hold,make,keep,save,C,A2,Vocabulary
V21,Word in Context,The music was too _____ so I couldn't hear the conversation.,thick,loud,deep,heavy,B,A2,Vocabulary
V22,Collocation,She _____ a lot of time helping younger students.,spent,saved,pulled,pushed,A,A2,Vocabulary
V23,Word Nuance,The instructions were not _____ - I couldn't understand them.,clear,wide,round,deep,A,A2,Vocabulary
V24,Vocabulary Application,The local cafe _____ a variety of breakfast options.,builds,writes,offers,draws,C,A2,Vocabulary
V25,Vocabulary Inference,The weather _____ perfect for our beach trip.,waited,seemed,lived,grew,B,A2,Vocabulary
V26,Word in Context,His _____ explanation helped me understand the problem.,clear,bright,loud,sharp,A,A2,Vocabulary
V27,Vocabulary Selection,The child was very ______ and wouldn't stop crying.,calm,quiet,upset,happy,C,B1,Vocabulary
V28,Vocabulary Inference,"She is a very ______ person, always ready to help.",selfish,unkind,generous,rude,C,B1,Vocabulary
